"ID","count.0","count.12111","count.12112","count.12113","count.12911","count.12912","count.12913","NUTS_ID"
1,1959493,199826,42278,136,6941,2964,5,"HU32"
2,56580546,4643600,1450325,4910,106876,49578,173,"HU33"
3,28397975,3036623,672468,3043,79945,20839,113,"RO42"
4,1668893,8892,1742,16,378483,61034,309,"RS12"
5,406046,188948,25208,225,1513,33,1,"RO11"
