"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","NUTS_ID"
1,18599874,1257770,202084,2520,268424,32582,488,51737,6273,86,0,0,0,0,0,0,0,0,0,"SE12"
2,70421829,5591731,917569,10866,1871157,264529,3364,164891,15310,266,176753,20923,285,101657,9182,147,6878,819,6,"SE21"
