"ID","count.0","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.31111","count.31112","count.31113","count.31311","count.31312","count.31313","count.32111","count.32112","count.32113","count.32311","count.32312","count.32313","count.32911","count.32912","count.11911","count.11912","count.32913","count.11913","count.31911","count.31912","count.12121","count.12122","count.12123","count.12321","count.12322","count.12323","count.12921","count.12922","count.31913","count.32121","count.32122","count.32123","count.32321","count.32322","count.32323","NUTS_ID"
1,3670395,2977,1095,9,9748,2623,24,74446,26069,137,249484,109341,413,13559,6294,23,15270,8980,28,27563,13476,44,43633,20650,83,201956,93723,350,195,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BE22"
2,176595,0,0,0,0,0,0,2667,684,0,5102,1684,6,365,465,0,0,0,0,0,0,0,20887,2296,28,43309,5543,54,845,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BE23"
3,8543992,9231,5089,14,27311,21266,67,351313,182066,541,373657,197346,574,17086,9830,21,2636,900,8,22002,15952,62,140733,33110,169,657830,226117,861,1909,689,596,509,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BE24"
4,9274511,2787,1281,0,651,228,0,334961,268068,542,270260,195772,492,15133,12121,64,970,1294,2,2056,2134,4,138118,102402,191,187742,154936,365,4263,1644,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BE31"
5,13320096,164129,109386,252,135691,73930,182,563986,330576,891,495350,305622,744,42104,21221,66,80331,53818,138,124730,74853,215,306976,208632,498,595894,366113,788,6766,3750,7961,3523,9,16,680,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BE32"
6,1269889,0,0,0,0,0,0,27650,10219,18,10774,3250,21,4013,2283,3,0,0,0,0,0,0,0,0,0,448,190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BE10"
7,8123667,98317,75700,181,57648,39925,108,304513,195480,686,135829,97885,256,24288,7096,51,95290,95212,153,132261,92204,220,108384,95840,218,85002,69390,152,192,357,6295,1331,1,13,1247,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BE33"
8,5774093,127828,107562,262,99239,60816,179,207127,112951,332,164534,105622,227,519,298,1,97628,87935,214,47941,45857,90,138497,85100,246,39906,37754,61,1585,388,42,2,2,0,4735,1671,167428,39603,223,82379,20292,102,1269,21,16,7443,3615,12,1417,1089,2,"BE34"
9,25347712,1045084,579250,1575,546402,345504,788,997911,537473,1494,965475,477590,1430,16304,7188,12,607506,392961,988,246678,165825,335,387655,280564,680,205489,186057,400,9242,3711,12475,6858,20,9,8661,6551,1141,635,1,2617,1883,5,0,0,28,0,0,0,0,0,0,"BE35"
10,1223219,66705,44303,168,38580,39725,123,26972,17045,53,3729,2420,5,1,0,0,62406,61340,162,75078,85543,189,1438,1255,6,1459,1042,0,0,0,1205,890,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRE1"
11,1472103,45398,11640,73,42473,14751,53,81858,12318,135,38810,5425,62,9772,1704,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10046,1680,0,8,0,0,932,171,1,3715,233,3,0,0,0,0,0,0,0,0,0,"FRF2"
12,68222,0,0,0,0,0,0,225,82,0,523,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRE2"
