"ID","count.0","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19311","count.19312","count.19313","count.19911","count.19912","count.19913","count.31111","count.31112","count.31113","count.31311","count.31312","count.31313","count.31911","count.31912","count.31913","count.32111","count.32112","count.32113","count.32311","count.32312","count.32313","count.32911","count.32912","count.32913","count.39111","count.39112","count.39113","count.39911","count.39912","count.39913","count.91111","count.91112","count.91113","count.91311","count.91312","count.91313","count.91911","count.91912","count.91913","count.92111","count.92112","count.92113","count.92311","count.92312","count.92313","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99311","count.99312","count.99911","count.99912","count.99913","count.92991","count.99991","NUTS_ID"
1,13739168,27733,24891,104,4712,3643,20,125103,126348,428,58538,43052,227,4786,2513,14,3959,2465,14,17,39,2,2452,2024,2,699575,297884,2356,263016,138386,913,852,778,4,2905100,3248876,13782,1054406,884369,4622,32425,24958,79,3697,1740,9,2270,804,3,29750,14349,92,3707,717,12,772,624,4,297523,196992,876,33405,43143,130,41875,14843,72,4932,1396,11,10,26,2398,553,8,0,0,"FRD1"
2,4713634,0,0,0,0,0,0,468152,180703,954,36768,10283,72,34142,8319,47,10996,5144,31,113,42,0,1887,1225,6,0,0,0,0,0,0,0,0,0,135132,60070,199,8245,2773,7,12680,5708,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73462,19401,117,36,13,0,14381,2953,18,3406,340,4,14,0,3518,406,4,502,182,"FRH0"
