"ID","count.0","count.11111","count.11112","count.11113","count.11211","count.11212","count.11213","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12211","count.12212","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.31111","count.31112","count.31113","count.31311","count.31312","count.31313","count.31911","count.31912","count.31913","count.32111","count.32112","count.32113","count.32311","count.32312","count.32313","count.32911","count.32912","count.32913","count.12213","count.32211","count.32213","NUTS_ID"
1,27987991,1683844,171251,31611,1233,62,7,1220602,114581,15387,15444,6437,96,1253195,108042,19035,76,44,432500,41160,5108,28408,4498,178,164919,30549,3798,190804,24301,7509,1415,319,14,1007662,366179,6278,1268490,282693,7122,15690,4774,61,0,0,0,"ES61"
2,41043333,2389439,527923,32129,6307,816,21,834898,226520,8177,31682,8725,127,4897033,991337,53793,460,29,2621425,634698,15582,55926,18519,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"ES42"
3,5711745,244952,2121,2504,0,0,0,36265,175,683,5037,46,7,1408662,6946,7900,0,0,369674,994,1767,135516,218,362,45971,689,753,7855,145,198,0,0,0,761358,3299,5687,234443,388,4065,75454,81,365,0,938,9,"ES43"
