"ID","count.0","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19311","count.19312","count.19911","count.19912","count.19913","count.91111","count.91112","count.91113","count.91911","count.91912","count.92111","count.92112","count.92113","count.92311","count.92911","count.92912","count.92913","NUTS_ID"
1,88953231,770309,141705,903,12006,2024,7,22694,4692,20,6417762,923867,6057,1985190,136219,1720,310312,38102,262,38089,5354,28,869,486,13583,661,11,1742,45,4,280,14,21316,3906,20,726,17480,3276,23,"SE12"
2,153413,0,0,0,0,0,0,0,0,0,11308,4,2,217,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SE31"
