"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,64733285,7517047,1380851,24393,1389852,246309,2737,188059,32469,594,"PL63"
2,21484587,2018121,537117,16847,41618,9516,74,45169,9800,248,"PL61"
3,277930,31708,3198,44,6581,959,10,868,9,0,"PL41"
