"ID","count.0","count.255","count.11111","count.11112","count.11113","count.11211","count.11212","count.11213","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12211","count.12212","count.12213","count.12311","count.12312","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19211","count.19212","count.19911","count.19912","count.19913","count.91111","count.91112","count.91113","count.91211","count.91212","count.91311","count.91313","count.91911","count.91912","count.91913","count.92111","count.92112","count.92113","count.92211","count.92212","count.92213","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99911","count.99912","count.99913","count.12313","count.92311","count.99311","count.99312","count.99991","count.99992","NUTS_ID"
1,45333042,392,2092743,449201,3657,204887,61735,384,8983,319,7,41342,9561,98,1583333,689089,3739,107006,30761,206,185,15,42000,22312,152,36022,13906,60,77,278,7629,3556,27,66066,19890,68,1178,261,209,2,17444,5371,33,132471,38680,296,1230,301,2,33176,8216,84,4595,756,7,9272,1893,20,0,0,0,0,0,0,"EL64"
2,15377339,86,667637,60029,1112,37419,4085,93,5517,1343,9,3117,90,11,792442,111478,1406,15068,1767,29,4319,141,41402,5959,94,2455,418,5,0,0,2366,3067,8,0,0,0,0,0,0,0,0,0,0,64311,11933,94,115,11,0,5222,2390,13,31757,7386,61,9173,7776,28,4,6,5,1,146,20,"EL61"
