"ID","count.0","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.31111","count.31112","count.31113","count.31911","count.31912","count.31913","NUTS_ID"
1,66049264,9587177,3446219,14997,44849,3129,71,148883,38082,257,87608,26616,185,8446,1623,23,"LT02"
2,17226382,2827221,461738,4353,9703,808,39,10686,1618,23,0,0,0,0,0,0,"LV00"
