"ID","count.0","count.255","count.11921","count.11922","count.11923","count.12111","count.12113","count.12121","count.12122","count.12123","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.12991","count.12992","count.19911","count.19912","count.19913","count.19921","count.19922","count.19923","count.19991","count.19992","count.91921","count.91922","count.91923","count.92921","count.92922","count.92923","count.92991","count.99921","count.99922","count.99923","count.99991","count.99992","count.99993","count.12112","count.92111","count.92112","count.92113","count.92911","count.92912","count.92913","NUTS_ID"
1,47900136,28264,236350,5496,399,58095,61,34194,1,30,445895,370,648,8581031,50107,16750,187,4,12256,57,18,882196,11348,2001,528,26,88155,1134,147,800389,15337,1634,410,475653,16765,983,24549,86,46,0,0,0,0,0,0,0,"NO07"
2,2935313,0,0,0,0,618200,868,45529,13,35,60955,18,73,9882,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,20368,6,43,7652,3,5,"SE33"
