"CNTR_CODE","NAME_ENGL","count.0","count.11111","count.11112","count.11113","count.11211","count.11212","count.11213","count.11311","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12211","count.12212","count.12213","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19911","count.91111","count.91112","count.91113","count.91211","count.91212","count.91311","count.91313","count.91911","count.91912","count.91913","count.92111","count.92112","count.92113","count.92211","count.92311","count.92313","count.92911","count.92912","count.92913","count.11312","count.11313","count.92312","count.99911","count.255","count.31111","count.31112","count.31113","count.31911","count.31912","count.32111","count.32112","count.32113","count.91312","count.32911","count.32912","count.32913","count.11121","count.11122","count.11123","count.11321","count.11322","count.11323","count.11921","count.11922","count.12121","count.12122","count.12123","count.12321","count.12322","count.12921","count.12922","count.92321","count.92991","count.92992","count.92993","count.19912","count.91213","count.92212","count.92213","count.31311","count.32311","count.32312","count.32313","count.11221","count.11222","count.11223","count.11923","count.12221","count.12222","count.12323","count.12923","count.91121","count.91122","count.91123","count.91921","count.91922","count.91923","count.92121","count.92122","count.92123","count.92322","count.92323","count.92921","count.92922","count.92923","count.32121","count.32122","count.32123","count.32321","count.32322","count.32323","count.32921","count.32922","count.31121","count.31122","count.31123","count.31321","count.31322","count.32923","count.19121","count.19122","count.19123","count.19321","count.19322","count.19323","count.19921","count.19922","count.19923","count.99121","count.99122","count.99123","count.99921","count.99922","count.99923","count.91321","count.91322","count.99321","count.99322","count.99323","count.99912","count.99913","count.99991","count.99992","count.99993","count.99111","count.99113","count.19111","count.19112","count.19113","count.19913","count.99112","count.99211","count.99212","count.99213","count.31312","count.31313","count.31323","count.31913","count.31921","count.31922","count.31923","count.11991","count.11993","count.19991","count.19993","count.91991","count.91993","count.31211","count.31212","count.31213","count.32211","count.32212","count.32213","count.91323","count.39121","count.39122","count.39321","count.39322","count.39323","count.39921","count.39922","count.39923","count.12991","count.12992","count.12993","count.39123","count.91992","count.11131","count.11132","count.11133","count.11231","count.11232","count.11233","count.11931","count.11932","count.11933","count.12131","count.12132","count.12133","count.12231","count.12232","count.12931","count.12932","count.12933","count.91931","count.91933","count.11331","count.11332","count.11333","count.12331","count.12332","count.12333","count.39111","count.39112","count.39113","count.39312","count.39911","count.39912","count.19992","count.12233","count.19931","count.19932","count.19933","count.91131","count.91132","count.91133","count.91231","count.91232","count.91233","count.91932","count.92131","count.92132","count.92133","count.92231","count.92232","count.92233","count.92931","count.92932","count.92933","count.99131","count.99132","count.99231","count.99232","count.99233","count.99931","count.99932","count.99933","count.31221","count.31222","count.32221","count.32223","count.91221","count.91222","count.91223","count.19131","count.19232","count.19311","count.19312","count.31223","count.19231","count.99133","count.32231","count.32232","count.32233","count.32931","count.32932","count.32933","count.12223","count.39311","count.99311","count.99312","count.19313","count.99313","count.19211","count.19212","count.39913","count.19213","count.39313","count.32222","count.92221","count.92222","count.92223","count.19191","count.19192","count.99191","count.99192","count.92391","count.92191","count.92192","count.12191","count.12192","count.19221","count.19222","count.99221","count.99222","count.99223","count.19223","count.11191","count.11192","count.91191","count.91192","count.39211","count.39212","count.39213","count.11992","count.39991","count.39992","count.19132","count.19133","count.39993","count.31931","count.31932"
"EE","Estonia",372032439,1780654,118139,2152,0,0,0,17978,76255,4927,104,64389706,6211879,75762,0,0,0,2747651,140436,2694,1008143,73018,1379,28824,318902,21260,334,0,0,1086,3,116478,7345,124,2562638,259550,3558,0,16538,14,1080016,94871,1426,1375,21,1227,140682,38728,0,0,0,0,0,0,0,0,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,8,1,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,160,8377,81,9,13652,12,9476,28,13,33,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EL","Greece",1105711778,57660071,5353821,107058,5454148,470368,8604,1286904,1545653,126923,3448,77556572,13220369,169060,4535463,415258,10948,1230464,396088,3103,3316553,609639,8046,586121,1533496,186185,3615,333072,33730,24587,62,516854,44677,1195,4064677,692764,10504,949301,91090,169,1351412,216782,3442,227376,2649,12545,2277836,23951,4278211,668179,10203,144667,5386,4632028,1132707,13196,1506,107177,20896,208,5370009,145340,10219,170121,34390,247,194928,2274,372657,21635,742,45188,4100,9133,930,79,980,129,2,98391,916,155807,3005,21429,50547,17686,95,30464,189,78,543,1421,33,108,27,256152,19911,438,17263,1182,19,26259,6297,71,3,0,5447,436,15,11280,130,8,0,0,0,0,0,330908,14930,564,399,2,0,124,18,0,0,0,0,247,30,0,3217,420,5,1410,257,2,3000,261,0,0,0,183644,5460,73898,2175,187,2575155,6480,869072,179690,2487,1498,212327,384839,46358,1098,9993,43,0,285,5509,4,16,862,2,1223,4,241,0,138662,9493,255,735903,95026,1728,1,54,8,0,0,0,0,0,0,193,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70631,2299,171,269,34546,3012,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,104,0,0,0,0,0,0,0,4907,365,1,0,0,0,0,0,0,0,0,1,28,5655,1791,22,9,153368,22481,57,391,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,16107,2172,59,0,696,126,0,0,1,0,0
"ES","Spain",4250435545,171529351,9308251,5850350,92790300,2795780,2529383,14387354,5142958,427861,63569,171694125,6878447,4749413,18915446,1168611,502829,48058715,1781210,430615,5336606,310000,73141,59212,908975,90357,12544,271986,14175,2331,2,143708,13485,1763,463568,30371,116601,168383,0,0,121513,16453,4767,841630,135890,0,141300,1962,4990504,460244,33582,85442,14345,12921458,840766,74154,1268,363859,17429,3058,35649948,5102398,1183210,1306290,407421,19191,1740783,160947,21574447,5289372,802453,3076797,1327949,1005744,97548,68868,0,0,0,5371,3959,13375,1468,2195731,8276228,516811,52953,214394,16985,10801,24001,156880,6713,58961,11365,759096,250221,3660,101872,32326,619,912034,151421,14736,5764,292,96985,20911,2414,3055910,1816720,45097,896145,643724,2727,17319,4506,6955098,1964799,102565,700133,398607,55,410783,85650,6040,9192,5769,628,105796,34742,4237,401773,71918,18520,209425,44164,37263,8025,5083,11400,1765,1433,5852,5738,12868,8,622,37848,2550,87607,15015,470,422,2592,38007,2011,154,217581,14661,3287,256,58216,12892,168,718,255,3225,241,487,6,900811,87232,16830,353215,59564,2611,11,12797,2683,8366,433,22,4807,617,2,0,0,0,58,0,4517786,143966,134245,13160137,350481,280125,373375,23286,2984,5355230,151189,309852,7700843,270462,504158,41370,8306,14262,387,18335,553,9,22473,3628,18,419,80,2,46,112,90,1019,152266,4512,18,9,20199,280,271,47534,1281,587,216,255355,12905,7353,177561,7801,3754,50102,3026,958,640,14,3816,75,215,9213,370,213,3471,798,101,2,1053,1,12,543,9,0,0,1,145,144,25087,1996,176,1110,177,4,13699,0,0,0,0,0,22642,2360,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI","Finland",3043926607,14859190,309990,15951,0,0,0,2054696,395812,10664,496,246561864,5814359,2095748,0,0,0,46195756,1018908,65380,10132984,295864,25708,758867,76363,1273,80,0,0,6117,12,52668,833,56,858215,65309,1287,0,260195,373,633645,31675,1858,41261,1800,13544,1695113,45993,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2461,30,6,46790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116752,3231,104515,1953,212,206621,537,457769,44075,771,1619,19829,0,0,0,0,0,0,0,0,0,0,0,0,2305,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238834,18169,0,0,0,0,0,0,0,0,0,0,0,126200,12400,350,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FR","France",4309178880,260887626,51063042,725890,17559690,2770727,38273,19919499,4647429,576681,7276,204340630,50038118,423055,3990699,1042980,7256,37018424,10259654,86604,7037744,1398824,15829,92413,694973,329350,2644,18897,2564,41992,154,96012,33691,214,2921452,1074885,11933,85574,681463,2025,820373,252682,4546,3863940,35724,424017,143590,17509,20498306,6267151,49650,120730,27962,69662914,32086769,191304,37174,707396,291041,1312,74076120,24077111,121544,1069405,733363,2196,3868350,166266,105933511,28162155,212519,13668233,5855489,3710212,290067,58140,1729,310,12,35919,35,10305,207,7595877,29841890,11418650,82431,3081959,310127,5905,5081,127507,43154,30092,5573,105234,24967,248,22006,2782,33,879095,355590,2013,15406,101,175387,37096,383,22394146,9185756,51679,6387976,3026551,18461,60950,23326,2341764,1073352,5721,675897,335648,85,34657,7224,54,1133,574,2,27555,5859,48,13723,2137,42,32742,8653,61,476,120,3739,255,14,35404,444,8578,1590,19,55148,101,113151,40352,254,230,19256,292,1,0,2111467,17531,2352,204,11592,4050,24,0,0,1888,4,924,0,74510,23391,182,13399,3745,25,0,6995,1460,71,2,0,309,84,1,102,26,0,8,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16731,15355,61,9429,8158,4761,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13148,3809,11155,21,0,0,0,0,0,6222,2939,34,0,0,0,0,0,0,0,0,283,11094,7505,3152,12,27,89,0,29,2,27,4260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HR","Croatia",472196429,508,361,16,0,0,0,39,1529861,277769,8463,184942,117680,463,0,0,0,551,154,0,19440156,7433167,65018,35876,0,0,0,0,0,0,0,195568,10895,656,0,0,0,0,0,0,22442,173,68,2,0,0,199151,22826,0,0,0,0,0,0,0,0,0,55863,67312,154,559615,82797,1031,7245,906,6,45947359,3889832,149021,85768,392,14509,6301,7983429,1709374,0,9,0,0,1447,0,0,0,0,0,0,0,5877,382,17,225975,1188,393,27,17063,0,0,0,1604464,73533,10655,0,0,0,0,0,161010,4321,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130722,15471,439,0,0,0,468870,18425,4184,0,0,0,0,0,3734,420,13944,1669,41,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HU","Hungary",782988101,10605265,1710875,15867,289,94,0,189924,188471,34292,366,104846743,25278701,126355,228,11,0,531007,46804,586,2660411,654479,4115,0,56897,11965,116,0,0,0,0,1529,39,3,127647,20814,272,0,0,0,8192,532,13,5827,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IE","Ireland",253875410,6536625,1006617,11867,11012,3528,20,98755,274119,44733,324,1702412,425471,3385,9587,2760,6,9096,1174,19,123577,19604,1195,5563,96420,30029,164,0,0,1627,8,99290,13269,98,478736,134954,969,0,22478,79,255203,58267,983,11266,166,10367,8555,54426,47087502,5901531,106246,199877,20363,11150244,2747386,33696,187,120454,33166,235,36464601,1513792,62187,2028528,39480,8382,1290039,65766,57328479,1635867,214255,5562004,85030,1854516,83610,488165,41281,1365,33,421,0,0,0,1950019,299555,68165,1106,0,0,0,1613,0,0,6306,1971,3814191,355157,4948,1226859,131647,1258,8240803,1219198,11679,18860,871,3341822,310550,4120,105541791,16028883,231264,3039016,248762,8322,949560,140494,97099048,9531426,134582,2051376,130560,1122,56512,2753,41,1653,26,0,82385,2882,50,38703,2539,29,133120,4247,70,72419,2312,1087,10,1,356,29,9771,235,4,188,0,5809,63,113,26,142,0,0,0,142957,4604,3013,313,798588,120063,949,197,0,362,0,22172,6,21724,6866,44,13215,5443,11,97,50937,9164,366,24,2,35764,3556,15,3433,37,3,47,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,122,0,0,0,0,0,0,0,6,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IT","Italy",2485570549,143472073,23220571,337924,27271194,4474552,70823,289680,2608483,429382,6824,92023213,38689253,536584,5800526,1526441,17129,4559288,1681933,59664,3447079,1806618,11887,121238,2493169,515181,8385,834241,190609,4501,13,366242,116275,1123,3007237,1136935,23458,238090,32032,150,576773,237026,3783,76106,990,15949,149369,1144,4059224,1845182,22573,51648,21312,8528720,16087869,109857,858,159661,470315,1071,34094926,9293895,64674,100396,27639,222,829160,107513,51874235,14339565,102247,218377,442880,3733311,671697,2752,3855,531,271,34756,2860,59373,786,63268,2025390,613354,32812,129494,89692,464,1595,49306,114456,738,5245,142290,33943,390,4214,3547,16,81317,94578,566,418,4,6966,14114,23,547439,2320989,5931,0,0,0,36720,104934,721914,612348,1921,0,0,190,3333,3070,11,0,0,0,7139,5287,16,2829,2682,15,3033,4295,18,2781,175,0,0,0,51290,601,1301,390,107,181029,395,360868,66494,825,382,29990,11485,2529,29,53657,983,0,245,3698,5456,8,0,0,2814,3,2702,4,1597026,168826,6059,99402,16564,320,4,0,0,0,0,0,0,0,0,922,9,1,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,1013,1,0,110,43,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579,2284,591,6,212,96,0,0,0,1473,18,5,0,0,0,0,0,0,0,0,324,0,361,73,9,7,7855,3056,1,39,0,2031,4871,12606,39,0,0,0,0,0,0,0,0,0,3060,1017,398,1144,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LI","Liechtenstein",1108251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239144,21078,405,0,0,0,231,22,128033,90188,643,0,0,4647,6370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,798,4,0,0,0,372,280,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LT","Lithuania",527760023,76395182,31782255,139991,0,0,0,5145863,1601996,475926,3353,1987993,1061941,3910,0,0,0,140273,48669,201,93560,42745,209,1749,226040,35366,351,0,0,496,3,54503,6322,85,0,0,0,0,0,0,0,0,0,1569088,8976,0,15770,339,209668,111661,470,15591,7519,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,11287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,27,0,0,0,28,0,24,33,0,0,0,0,0,0,8155,28,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LU","Luxembourg",18889436,993689,310399,1930,42,0,0,1120930,43063,6500,240,502397,184019,614,0,0,0,244471,99300,270,8882,1652,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564802,1626,0,0,0,382630,219617,508,8656,1252,438761,123877,510,0,1005,351,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754812,390626,103776,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554177,932,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LV","Latvia",530492874,98569469,10574021,145029,0,0,0,1236974,1427921,190175,2399,2208058,323690,4006,0,0,0,33794,3801,58,32955,2872,59,7864,321758,36676,518,0,0,3465,1,107566,9758,188,9942,2733,20,0,0,0,6910,1037,12,66615,1730,0,11960,144,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,25,0,0,0,19819,32,57232,5346,130,9,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,57,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,5,6,0,0,0,0,0,0,0,0,0,0,0
"ME","Montenegro",70280975,0,0,0,0,0,0,0,1313629,101024,1840,0,0,0,0,0,0,0,0,0,215235,11140,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26465950,966646,0,0,0,0,0,1318219,133526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104829,0,0,0,273035,0,0,0,114576,5471,1063,0,0,0,0,0,15300,622,24950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39942,358,141,0,0,0,15661,62,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MK","North Macedonia",125675806,86185,592,55,0,0,0,160,9512832,382242,17461,500137,40990,506,0,0,0,5033,752,2,27722212,2178163,53477,0,0,0,0,0,0,0,0,3252,112,3,0,0,0,0,0,0,112779,5234,229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201522,108,0,0,0,0,0,187865,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NL","Netherlands",260030567,41552,38063,92,0,0,0,4296,423,141,1,11334811,7532039,574006,0,0,0,1541495,1253497,16114,1545285,558672,53023,96104,0,0,0,0,0,0,0,0,0,0,1836822,992301,42730,0,174941,318,1194119,583608,104135,8462,5,86999,160842,12753,43906,58190,111,0,0,25378635,39031691,981874,0,1116482,1044666,46920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,21653,0,0,0,15569,6203766,9870993,73372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46130,11598,43521,5550,97,19468,1225,15247,13018,1348,6586,1596,0,0,0,26570,33,0,0,0,0,0,0,0,6103,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14810,11292,8602,33,26707,13104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,10297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NO","Norway",840504421,1502630,31674,2475,0,0,0,33383,69811519,738761,92590,4838920,66217,6927,0,0,0,61836,776,58,106873540,4142363,166736,831164,0,0,0,0,0,0,0,2011766,32043,2881,0,0,0,0,0,0,904985,57290,1591,3,70,0,918762,127688,0,0,0,0,0,0,0,0,0,0,0,0,481063,7,636,2383,0,0,12472419,170986,1249211,660,2305,640,8,78297364,790656,0,449,1,0,45265,0,0,0,0,0,0,0,0,0,0,21989,0,0,1,145209,0,0,0,132119,1998,202,0,0,0,0,0,1579697,91729,3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409572,24245,3089,0,0,0,687191,52769,1372,0,0,0,0,0,72091,1488,38881,491,73,985,2,2642,107,5,1301,113,0,0,0,0,0,0,0,0,0,0,0,0,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
